StationName,DateTime,AQI,PM2.5,PM10,NO2,CO,OZONE,NH3,SO2
"Alipur, Delhi - DPCC",12 Dec 2020 11:00 PM,409,409,325,36,89,9,,13
"Anand Vihar, Delhi - DPCC",12 Dec 2020 11:00 PM,nan,,,26,116,16,4,25
"Bawana, Delhi - DPCC",12 Dec 2020 11:00 PM,413,413,344,45,102,12,16,3
"Chandni Chowk, Delhi - IITM",12 Dec 2020 11:00 PM,301,301,246,19,79,15,8,2
"DTU, Delhi - CPCB",12 Dec 2020 11:00 PM,391,391,225,146,113,75,33,4
"Dr. Karni Singh Shooting Range, Delhi - DPCC",12 Dec 2020 11:00 PM,398,398,301,95,101,44,18,14
"Dwarka-Sector 8, Delhi - DPCC",12 Dec 2020 11:00 PM,394,394,307,72,99,26,20,4
"IHBAS, Dilshad Garden, Delhi - CPCB",12 Dec 2020 11:00 PM,383,356,383,101,75,4,16,9
"ITO, Delhi - CPCB",12 Dec 2020 11:00 PM,394,394,271,22,121,14,9,11
"Jahangirpuri, Delhi - DPCC",12 Dec 2020 11:00 PM,409,409,329,68,107,15,14,9
"Jawaharlal Nehru Stadium, Delhi - DPCC",12 Dec 2020 11:00 PM,392,392,283,63,88,,14,30
"Lodhi Road, Delhi - IITM",12 Dec 2020 11:00 PM,348,348,234,36,46,10,13,4
"Major Dhyan Chand National Stadium, Delhi - DPCC",12 Dec 2020 11:00 PM,391,391,304,67,95,20,15,14
"Mandir Marg, Delhi - DPCC",12 Dec 2020 11:00 PM,383,383,251,87,100,13,7,23
"Mundka, Delhi - DPCC",12 Dec 2020 11:00 PM,400,400,286,43,104,22,16,10
"NSIT Dwarka, Delhi - CPCB",12 Dec 2020 11:00 PM,353,177,353,38,76,16,28,11
"Najafgarh, Delhi - DPCC",12 Dec 2020 11:00 PM,345,345,239,40,87,34,34,6
"Narela, Delhi - DPCC",12 Dec 2020 11:00 PM,390,390,348,63,91,14,13,4
"Nehru Nagar, Delhi - DPCC",12 Dec 2020 11:00 PM,414,414,313,96,115,19,18,14
"Okhla Phase-2, Delhi - DPCC",12 Dec 2020 11:00 PM,407,407,358,67,75,10,12,15
"Patparganj, Delhi - DPCC",12 Dec 2020 11:00 PM,412,412,297,36,88,10,21,5
"Punjabi Bagh, Delhi - DPCC",12 Dec 2020 11:00 PM,391,391,289,86,103,24,12,10
"Pusa, Delhi - DPCC",12 Dec 2020 11:00 PM,385,385,319,69,103,13,17,18
"R K Puram, Delhi - DPCC",12 Dec 2020 11:00 PM,389,389,300,62,107,23,10,13
"Rohini, Delhi - DPCC",12 Dec 2020 11:00 PM,404,404,326,38,102,18,29,2
"Shadipur, Delhi - CPCB",12 Dec 2020 11:00 PM,249,235,249,109,87,5,26,10
"Sonia Vihar, Delhi - DPCC",12 Dec 2020 11:00 PM,416,416,319,63,92,19,15,12
"Sri Aurobindo Marg, Delhi - DPCC",12 Dec 2020 11:00 PM,393,393,264,38,94,24,10,6
"Vivek Vihar, Delhi - DPCC",12 Dec 2020 11:00 PM,447,447,326,48,90,7,5,23
"Wazirpur, Delhi - DPCC",12 Dec 2020 11:00 PM,300,300,204,,106,32,31,22
